time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max,location
2024-01-01,30.0,21.4,0.0,15.6,94,Arumbakkam
2024-01-02,28.6,20.7,0.0,14.5,92,Arumbakkam
2024-01-03,28.9,21.5,0.0,16.1,89,Arumbakkam
2024-01-04,30.0,23.1,0.6,18.3,88,Arumbakkam
2024-01-05,29.9,22.9,0.6,15.5,92,Arumbakkam
2024-01-06,29.0,23.8,1.9,21.3,95,Arumbakkam
2024-01-07,27.2,23.7,12.9,20.2,94,Arumbakkam
2024-01-08,26.1,23.6,25.4,15.5,95,Arumbakkam
2024-01-09,29.0,24.4,0.1,19.2,86,Arumbakkam
2024-01-10,28.9,23.4,0.0,16.6,94,Arumbakkam
2024-01-11,29.1,22.2,0.0,15.5,95,Arumbakkam
2024-01-12,29.3,21.3,0.0,13.9,96,Arumbakkam
2024-01-13,29.5,21.8,0.3,13.9,100,Arumbakkam
2024-01-14,29.7,20.5,0.2,12.7,100,Arumbakkam
2024-01-15,29.7,20.5,0.0,12.3,99,Arumbakkam
2024-01-16,29.4,19.8,0.0,10.8,89,Arumbakkam
2024-01-17,29.5,18.8,0.0,13.4,98,Arumbakkam
2024-01-18,30.0,19.5,0.0,11.9,99,Arumbakkam
2024-01-19,29.8,20.8,0.2,13.9,99,Arumbakkam
2024-01-20,30.0,22.2,0.0,14.1,94,Arumbakkam
2024-01-21,30.6,21.5,0.0,12.1,95,Arumbakkam
2024-01-22,30.1,20.9,0.0,12.9,99,Arumbakkam
2024-01-23,30.4,21.3,0.1,14.6,94,Arumbakkam
2024-01-24,30.8,21.0,0.0,15.1,98,Arumbakkam
2024-01-25,30.5,20.7,0.0,14.7,98,Arumbakkam
2024-01-26,30.2,22.1,1.2,13.7,96,Arumbakkam
2024-01-27,30.8,21.8,0.5,15.8,93,Arumbakkam
2024-01-28,30.2,22.0,0.5,16.0,95,Arumbakkam
2024-01-29,30.0,21.0,0.0,16.8,93,Arumbakkam
2024-01-30,32.0,19.5,0.0,18.3,95,Arumbakkam
2024-01-31,31.4,21.1,0.1,12.2,96,Arumbakkam
2024-02-01,31.0,23.5,0.8,13.7,96,Arumbakkam
2024-02-02,31.4,22.8,0.4,13.0,100,Arumbakkam
2024-02-03,31.4,22.7,0.0,13.4,97,Arumbakkam
2024-02-04,31.9,21.9,0.0,13.8,96,Arumbakkam
2024-02-05,31.5,21.3,0.0,13.2,99,Arumbakkam
2024-02-06,31.5,20.6,0.0,13.6,100,Arumbakkam
2024-02-07,32.7,20.5,0.0,12.0,100,Arumbakkam
2024-02-08,33.4,20.0,0.0,11.9,100,Arumbakkam
2024-02-09,32.0,21.5,0.1,15.3,100,Arumbakkam
2024-02-10,32.1,23.5,0.1,16.3,91,Arumbakkam
2024-02-11,31.4,22.5,0.0,18.3,94,Arumbakkam
2024-02-12,30.8,20.6,0.0,16.3,98,Arumbakkam
2024-02-13,31.7,22.1,1.1,18.4,92,Arumbakkam
2024-02-14,32.1,22.8,0.9,16.5,96,Arumbakkam
2024-02-15,31.4,21.5,0.1,15.4,100,Arumbakkam
2024-02-16,32.3,21.7,0.0,17.0,97,Arumbakkam
2024-02-17,33.0,21.0,0.0,15.6,100,Arumbakkam
2024-02-18,32.8,21.5,0.0,14.7,100,Arumbakkam
2024-02-19,33.5,20.8,0.0,17.3,100,Arumbakkam
2024-02-20,32.8,22.5,0.0,15.8,100,Arumbakkam
2024-02-21,34.2,21.5,0.0,18.3,100,Arumbakkam
2024-02-22,33.9,23.0,1.6,20.0,100,Arumbakkam
2024-02-23,35.4,24.8,0.3,22.8,96,Arumbakkam
2024-02-24,32.5,24.6,0.9,18.9,96,Arumbakkam
2024-02-25,32.2,24.1,0.0,15.9,89,Arumbakkam
2024-02-26,32.1,24.4,0.2,19.5,81,Arumbakkam
2024-02-27,32.6,23.1,0.1,18.4,98,Arumbakkam
2024-02-28,33.7,23.0,0.0,15.7,100,Arumbakkam
2024-02-29,34.1,21.5,0.0,14.5,100,Arumbakkam
2024-03-01,34.0,22.7,0.0,15.3,100,Arumbakkam
2024-03-02,35.1,22.2,0.0,16.0,100,Arumbakkam
2024-03-03,33.5,22.8,0.0,17.6,97,Arumbakkam
2024-03-04,32.4,21.0,0.1,16.0,100,Arumbakkam
2024-03-05,33.4,21.2,0.0,17.1,99,Arumbakkam
2024-03-06,35.2,21.8,0.0,18.6,99,Arumbakkam
2024-03-07,36.8,21.6,0.0,18.7,99,Arumbakkam
2024-03-08,34.4,22.8,0.0,19.7,100,Arumbakkam
2024-03-09,35.0,23.4,0.0,20.1,100,Arumbakkam
2024-03-10,34.9,23.5,0.0,17.7,98,Arumbakkam
2024-03-11,34.8,23.3,0.1,17.1,97,Arumbakkam
2024-03-12,35.8,22.8,0.0,19.9,99,Arumbakkam
2024-03-13,36.2,24.2,0.0,20.8,99,Arumbakkam
2024-03-14,35.6,24.0,0.1,18.6,100,Arumbakkam
2024-03-15,34.2,23.2,0.0,20.0,98,Arumbakkam
2024-03-16,34.0,24.0,0.2,21.5,94,Arumbakkam
2024-03-17,33.5,23.5,0.3,19.1,97,Arumbakkam
2024-03-18,35.2,22.3,0.0,17.8,98,Arumbakkam
2024-03-19,34.6,22.5,0.0,15.6,99,Arumbakkam
2024-03-20,34.0,22.4,0.0,18.3,98,Arumbakkam
2024-03-21,32.0,24.6,1.1,16.2,91,Arumbakkam
2024-03-22,33.7,24.5,0.4,14.2,96,Arumbakkam
2024-03-23,35.4,22.7,0.0,16.8,100,Arumbakkam
2024-03-24,34.2,23.3,0.0,19.6,100,Arumbakkam
2024-03-25,33.5,23.5,0.0,15.9,98,Arumbakkam
2024-03-26,33.3,22.9,0.0,18.6,98,Arumbakkam
2024-03-27,34.7,22.9,0.0,18.4,99,Arumbakkam
2024-03-28,35.8,22.1,0.0,19.0,100,Arumbakkam
2024-03-29,37.0,24.1,0.0,19.7,99,Arumbakkam
2024-03-30,36.8,23.1,0.0,19.4,100,Arumbakkam
2024-03-31,35.8,23.3,0.0,19.7,100,Arumbakkam
2024-04-01,36.2,24.0,0.0,20.4,100,Arumbakkam
2024-04-02,37.0,25.0,0.0,21.1,98,Arumbakkam
2024-04-03,37.4,25.7,0.0,20.4,99,Arumbakkam
2024-04-04,37.5,25.0,0.0,19.7,99,Arumbakkam
2024-04-05,37.7,25.1,0.0,20.3,100,Arumbakkam
2024-04-06,39.2,25.6,0.0,20.1,100,Arumbakkam
2024-04-07,39.5,25.2,0.0,19.3,100,Arumbakkam
2024-04-08,38.5,25.8,0.0,21.3,100,Arumbakkam
2024-04-09,35.4,24.7,0.0,16.9,94,Arumbakkam
2024-04-10,34.9,24.9,0.1,17.0,98,Arumbakkam
2024-04-11,35.1,24.8,0.0,19.1,96,Arumbakkam
2024-04-12,34.7,26.8,0.0,18.7,90,Arumbakkam
2024-04-13,35.5,24.9,0.5,17.4,100,Arumbakkam
2024-04-14,35.5,25.1,0.0,15.9,100,Arumbakkam
2024-04-15,36.4,24.0,0.0,16.3,100,Arumbakkam
2024-04-16,36.8,23.8,0.0,20.2,100,Arumbakkam
2024-04-17,38.2,25.2,0.2,19.7,98,Arumbakkam
2024-04-18,39.2,26.0,0.0,20.0,97,Arumbakkam
2024-04-19,38.5,27.2,0.0,21.9,97,Arumbakkam
2024-04-20,38.2,27.5,0.0,21.9,98,Arumbakkam
2024-04-21,37.8,27.2,0.0,23.2,99,Arumbakkam
2024-04-22,38.0,26.3,0.0,20.2,99,Arumbakkam
2024-04-23,36.9,25.0,0.0,18.7,100,Arumbakkam
2024-04-24,38.1,24.4,0.0,18.9,100,Arumbakkam
2024-04-25,36.8,26.4,0.0,19.8,99,Arumbakkam
2024-04-26,36.5,25.8,0.0,19.7,99,Arumbakkam
2024-04-27,36.7,24.9,0.0,19.8,100,Arumbakkam
2024-04-28,38.2,25.8,0.0,21.3,99,Arumbakkam
2024-04-29,38.3,26.9,0.0,21.9,98,Arumbakkam
2024-04-30,38.0,27.1,0.0,23.2,98,Arumbakkam
2024-05-01,40.3,28.1,0.0,23.8,92,Arumbakkam
2024-05-02,40.8,29.5,0.0,28.6,89,Arumbakkam
2024-05-03,40.5,27.3,0.0,25.1,87,Arumbakkam
2024-05-04,39.7,28.9,0.0,24.6,87,Arumbakkam
2024-05-05,39.1,29.2,0.0,25.0,84,Arumbakkam
2024-05-06,40.1,29.5,0.0,26.1,87,Arumbakkam
2024-05-07,39.1,29.6,0.1,21.4,86,Arumbakkam
2024-05-08,34.8,25.9,0.8,17.6,96,Arumbakkam
2024-05-09,34.8,26.6,3.6,19.6,96,Arumbakkam
2024-05-10,34.3,27.0,12.4,17.5,91,Arumbakkam
2024-05-11,35.2,25.3,1.4,17.9,97,Arumbakkam
2024-05-12,34.2,28.5,8.8,17.4,87,Arumbakkam
2024-05-13,34.3,25.6,8.0,14.4,93,Arumbakkam
2024-05-14,35.0,27.0,1.8,14.8,97,Arumbakkam
2024-05-15,35.2,26.6,3.0,16.8,93,Arumbakkam
2024-05-16,30.0,25.6,19.8,11.3,97,Arumbakkam
2024-05-17,31.9,25.8,3.5,16.5,98,Arumbakkam
2024-05-18,31.4,25.4,4.3,14.4,98,Arumbakkam
2024-05-19,34.1,25.7,8.2,16.3,96,Arumbakkam
2024-05-20,31.5,26.0,15.0,14.4,98,Arumbakkam
2024-05-21,32.0,26.1,16.1,13.2,99,Arumbakkam
2024-05-22,31.5,25.8,35.0,18.7,99,Arumbakkam
2024-05-23,33.5,25.9,21.8,13.4,99,Arumbakkam
2024-05-24,38.2,26.1,0.0,19.2,95,Arumbakkam
2024-05-25,36.5,26.9,16.7,16.4,91,Arumbakkam
2024-05-26,39.2,27.9,1.1,20.5,90,Arumbakkam
2024-05-27,42.7,30.1,0.1,21.1,55,Arumbakkam
2024-05-28,42.5,30.0,0.0,19.9,64,Arumbakkam
2024-05-29,42.4,30.1,0.0,19.1,73,Arumbakkam
2024-05-30,41.7,29.7,0.0,19.1,77,Arumbakkam
2024-05-31,40.5,28.7,35.4,19.2,84,Arumbakkam
2024-06-01,39.6,27.8,2.1,24.1,84,Arumbakkam
2024-06-02,35.5,27.0,25.2,20.5,95,Arumbakkam
2024-06-03,31.3,27.0,8.7,11.0,95,Arumbakkam
2024-06-04,35.2,27.0,17.0,11.5,91,Arumbakkam
2024-06-05,33.6,26.0,28.6,20.2,95,Arumbakkam
2024-06-06,32.6,25.8,24.6,17.8,95,Arumbakkam
2024-06-07,31.4,25.6,5.7,13.2,96,Arumbakkam
2024-06-08,34.0,26.5,0.6,19.4,90,Arumbakkam
2024-06-09,35.8,26.7,0.6,19.0,88,Arumbakkam
2024-06-10,37.7,27.2,4.7,19.5,88,Arumbakkam
2024-06-11,36.4,28.2,8.2,21.7,84,Arumbakkam
2024-06-12,33.8,26.9,0.2,19.6,80,Arumbakkam
2024-06-13,35.3,27.7,0.0,20.6,73,Arumbakkam
2024-06-14,35.7,27.5,0.0,20.8,83,Arumbakkam
2024-06-15,36.3,27.2,1.5,14.2,84,Arumbakkam
2024-06-16,37.5,26.6,0.3,14.7,96,Arumbakkam
2024-06-17,37.9,27.2,1.4,17.9,83,Arumbakkam
2024-06-18,37.8,27.1,2.8,18.0,85,Arumbakkam
2024-06-19,35.8,25.4,20.2,20.1,94,Arumbakkam
2024-06-20,35.7,25.3,2.1,17.1,96,Arumbakkam
2024-06-21,36.0,27.0,9.1,17.4,79,Arumbakkam
2024-06-22,36.1,27.8,0.1,17.3,75,Arumbakkam
2024-06-23,37.0,27.1,4.3,16.7,80,Arumbakkam
2024-06-24,36.3,27.7,0.3,19.7,81,Arumbakkam
2024-06-25,35.3,27.4,1.0,18.0,80,Arumbakkam
2024-06-26,35.5,28.4,0.5,22.9,77,Arumbakkam
2024-06-27,34.7,27.0,0.9,23.8,81,Arumbakkam
2024-06-28,37.8,27.9,0.0,20.6,83,Arumbakkam
2024-06-29,38.5,27.4,0.2,16.2,87,Arumbakkam
2024-06-30,35.4,27.8,0.0,18.8,86,Arumbakkam
2024-01-01,26.3,14.1,0.3,10.2,94,Bhopal
2024-01-02,25.8,14.1,0.0,12.6,99,Bhopal
2024-01-03,24.7,14.1,0.7,13.4,100,Bhopal
2024-01-04,21.6,15.2,6.2,11.0,100,Bhopal
2024-01-05,21.1,14.3,2.0,10.7,100,Bhopal
2024-01-06,22.0,14.1,0.2,11.3,100,Bhopal
2024-01-07,18.8,12.5,0.1,12.2,99,Bhopal
2024-01-08,21.3,14.1,0.7,12.9,97,Bhopal
2024-01-09,26.1,14.5,0.0,9.2,98,Bhopal
2024-01-10,21.0,14.3,0.0,11.8,100,Bhopal
2024-01-11,23.6,13.3,0.1,9.0,99,Bhopal
2024-01-12,24.3,13.4,0.0,8.8,98,Bhopal
2024-01-13,27.2,13.0,0.0,14.5,93,Bhopal
2024-01-14,26.2,14.0,0.0,12.6,97,Bhopal
2024-01-15,22.7,12.7,0.0,10.6,87,Bhopal
2024-01-16,22.7,9.7,0.0,9.0,97,Bhopal
2024-01-17,23.5,10.5,0.0,8.5,94,Bhopal
2024-01-18,22.9,11.2,0.0,11.8,94,Bhopal
2024-01-19,21.4,10.1,0.0,13.0,84,Bhopal
2024-01-20,22.4,11.2,0.1,12.2,86,Bhopal
2024-01-21,21.1,8.4,0.0,9.4,96,Bhopal
2024-01-22,21.9,8.5,0.0,11.4,93,Bhopal
2024-01-23,21.4,9.6,0.0,12.7,91,Bhopal
2024-01-24,22.0,7.2,0.0,11.4,84,Bhopal
2024-01-25,22.4,7.9,0.0,11.5,79,Bhopal
2024-01-26,23.3,8.2,0.0,9.4,81,Bhopal
2024-01-27,24.2,9.6,0.0,10.5,81,Bhopal
2024-01-28,26.2,10.8,0.0,10.2,86,Bhopal
2024-01-29,26.7,12.6,0.0,13.1,87,Bhopal
2024-01-30,24.7,12.5,0.0,9.6,90,Bhopal
2024-01-31,25.7,12.3,0.0,9.9,84,Bhopal
2024-02-01,26.3,13.6,0.0,12.1,84,Bhopal
2024-02-02,26.2,13.8,0.0,10.0,92,Bhopal
2024-02-03,26.4,12.6,0.0,9.2,92,Bhopal
2024-02-04,29.0,14.9,0.0,13.9,79,Bhopal
2024-02-05,29.4,15.7,0.0,16.7,88,Bhopal
2024-02-06,27.7,15.4,0.0,15.2,98,Bhopal
2024-02-07,26.0,14.1,0.0,14.9,94,Bhopal
2024-02-08,22.5,12.6,0.0,13.9,63,Bhopal
2024-02-09,23.6,10.6,0.0,12.3,66,Bhopal
2024-02-10,24.7,11.5,0.0,14.0,65,Bhopal
2024-02-11,25.1,12.7,0.0,14.5,68,Bhopal
2024-02-12,27.5,13.7,0.0,12.8,93,Bhopal
2024-02-13,28.6,15.6,0.1,11.8,96,Bhopal
2024-02-14,26.2,16.0,0.0,12.0,97,Bhopal
2024-02-15,26.5,14.9,0.0,13.5,97,Bhopal
2024-02-16,27.8,14.8,0.0,12.3,80,Bhopal
2024-02-17,29.0,14.2,0.0,10.5,74,Bhopal
2024-02-18,31.2,16.6,0.0,14.3,75,Bhopal
2024-02-19,31.1,17.9,0.0,16.3,79,Bhopal
2024-02-20,30.7,18.6,0.0,17.8,54,Bhopal
2024-02-21,28.5,17.7,0.0,24.5,65,Bhopal
2024-02-22,26.6,17.1,0.0,19.1,68,Bhopal
2024-02-23,25.8,15.4,0.0,13.8,70,Bhopal
2024-02-24,27.0,13.6,0.0,11.3,56,Bhopal
2024-02-25,26.5,13.6,0.0,14.0,64,Bhopal
2024-02-26,27.9,16.0,0.0,15.4,74,Bhopal
2024-02-27,30.1,17.0,14.5,17.4,97,Bhopal
2024-02-28,27.3,13.9,0.0,11.6,99,Bhopal
2024-02-29,30.8,15.2,0.0,10.8,72,Bhopal
2024-03-01,32.5,15.9,0.0,15.8,74,Bhopal
2024-03-02,29.6,19.4,0.5,21.7,86,Bhopal
2024-03-03,27.3,16.9,0.2,16.6,87,Bhopal
2024-03-04,24.8,12.0,0.0,14.9,57,Bhopal
2024-03-05,26.2,12.6,0.0,13.3,73,Bhopal
2024-03-06,27.9,12.8,0.0,12.4,65,Bhopal
2024-03-07,28.3,14.5,0.0,16.1,68,Bhopal
2024-03-08,28.7,14.7,0.0,13.2,64,Bhopal
2024-03-09,29.7,14.8,0.0,12.3,55,Bhopal
2024-03-10,31.6,16.2,0.0,13.3,62,Bhopal
2024-03-11,32.0,17.5,0.0,13.8,62,Bhopal
2024-03-12,32.9,18.5,0.0,15.5,69,Bhopal
2024-03-13,32.3,17.1,0.0,15.5,57,Bhopal
2024-03-14,30.6,19.4,0.0,16.4,48,Bhopal
2024-03-15,31.6,18.3,0.0,14.8,51,Bhopal
2024-03-16,32.4,18.3,0.0,16.3,53,Bhopal
2024-03-17,32.3,19.1,0.0,15.0,48,Bhopal
2024-03-18,31.4,19.5,0.0,16.6,48,Bhopal
2024-03-19,31.6,19.1,0.0,16.6,48,Bhopal
2024-03-20,33.0,16.6,0.0,17.8,47,Bhopal
2024-03-21,32.2,16.9,0.0,10.1,46,Bhopal
2024-03-22,34.4,17.4,0.0,14.7,53,Bhopal
2024-03-23,36.0,20.3,0.0,14.0,36,Bhopal
2024-03-24,36.6,22.5,0.0,20.6,36,Bhopal
2024-03-25,35.7,21.4,0.0,12.8,43,Bhopal
2024-03-26,36.3,22.0,0.0,13.1,45,Bhopal
2024-03-27,38.2,21.5,0.0,10.6,48,Bhopal
2024-03-28,39.4,24.1,0.0,16.6,43,Bhopal
2024-03-29,38.6,23.0,0.1,22.2,47,Bhopal
2024-03-30,37.5,23.8,0.0,13.7,61,Bhopal
2024-03-31,36.3,25.1,0.0,20.5,39,Bhopal
2024-04-01,36.3,22.9,0.0,17.0,34,Bhopal
2024-04-02,37.0,22.7,0.0,16.3,40,Bhopal
2024-04-03,37.7,23.0,0.0,16.7,38,Bhopal
2024-04-04,37.7,24.8,0.0,18.4,36,Bhopal
2024-04-05,37.1,24.3,0.0,15.6,42,Bhopal
2024-04-06,36.4,25.2,0.0,19.1,36,Bhopal
2024-04-07,34.0,21.8,1.5,15.3,68,Bhopal
2024-04-08,35.7,21.7,0.5,20.9,49,Bhopal
2024-04-09,36.0,21.1,0.3,18.9,61,Bhopal
2024-04-10,33.7,21.6,3.4,17.3,87,Bhopal
2024-04-11,33.4,20.6,2.9,22.3,83,Bhopal
2024-04-12,33.1,21.1,2.5,25.2,83,Bhopal
2024-04-13,35.0,21.5,0.0,18.4,78,Bhopal
2024-04-14,35.4,22.5,0.0,16.6,83,Bhopal
2024-04-15,36.4,22.9,0.0,17.6,73,Bhopal
2024-04-16,37.2,23.2,0.0,13.8,73,Bhopal
2024-04-17,37.7,24.6,0.0,14.1,46,Bhopal
2024-04-18,38.8,23.8,0.0,15.8,47,Bhopal
2024-04-19,38.8,25.1,0.0,19.6,41,Bhopal
2024-04-20,38.2,27.0,0.0,23.8,44,Bhopal
2024-04-21,37.3,25.4,0.0,19.0,38,Bhopal
2024-04-22,34.8,22.7,2.8,22.0,73,Bhopal
2024-04-23,37.4,24.4,0.0,21.4,70,Bhopal
2024-04-24,38.4,24.5,0.0,22.4,43,Bhopal
2024-04-25,38.3,24.4,0.0,19.5,36,Bhopal
2024-04-26,38.1,25.5,0.2,20.4,56,Bhopal
2024-04-27,37.4,24.1,0.7,12.9,61,Bhopal
2024-04-28,38.7,26.1,0.0,15.3,43,Bhopal
2024-04-29,39.2,26.6,0.0,19.4,33,Bhopal
2024-04-30,38.3,25.8,0.0,18.3,31,Bhopal
